-632.14,-708.4,-708.4
-630.97,-708.4,-708.4
-621.77,-708.4,-708.4
-630.36,-708.4,-708.4
-630.29,-708.4,-708.4
-641.77,-708.4,-708.4
-633.55,-708.4,-708.4
-620.69,-708.4,-708.4
-614.12,-708.4,-708.4
-618.84,-708.4,-708.4
-708.4,-708.4,-593.96
-708.4,-708.4,-608.94
-708.4,-708.4,-587.83
-708.4,-708.4,-591.45
-708.4,-708.4,-587.74
-708.4,-708.4,-579.95
-708.4,-708.4,-611.23
-708.4,-708.4,-594.47
-708.4,-708.4,-587.11
-708.4,-708.4,-606.65
-705.85,-587.94,-647.02
-702.71,-609.79,-636.72
-698.35,-613.27,-632.78
-699.35,-583.43,-636.3
-692.05,-616.93,-628.63
-694.82,-627.84,-641.18
-686.09,-574.98,-632.23
-696.18,-595.21,-646.92
-698.18,-579.53,-643.58
-689.86,-582.25,-643.74
